company_name;company_lei;company_id;investment_value
AES Corp.;2NUNNB7D43COUIRE5295;US00130H1059;4351252
Algonquin Power & Utilities Corp.;549300K5VIUTJXQL7X75;US0158577090;2228185
ALLETE, Inc.;549300NNLSIMY6Z8OT86;US0185223007;3829481
Alliant Energy;5493009ML300G373MZ12;US0188021085;3829481
Ameren Corp.;XRZQ5S7HYJFPHJ78L959;US0236081024;15917812
American Electric Power Co., Inc.;1B4S6S7G0TW5EE83BO58;US0255371017;45520637
Avangrid, Inc.;549300OX0Q38NLSKPB49;US05351W1036;10049068
Avista Corp.;Q0IK63NITJD6RJ47SW96;US05379B1070;2804211
Cleco Partners LP;5493002H80P81B3HXL31;US18551QAA58;3086052
CMS Energy;549300IA9XFBAGNIBW29;US1258961002;9153135
Consolidated Edison, Inc.;54930033SBW53OO8T749;US2091151041;20394113
Dominion Energy;ILUL7B6Z54MRYCF6H308;US25746U1097;33528082
DTE Energy;549300IX8SD6XXD71I78;US2333311072;14329945
Duke Energy Corp.;I1BZKREC126H0VB1BL91;US26441C2044;73069652
El Paso Electric Co;OZ8GM8L4AHPKSWZMW205;US283677AZ52;2646941
Emera Inc.;NQZVQT2P5IUF2PGA1Q48;CA2908761018;6631113
Entergy Corp.;4XM3TW50JULSLG8BNC79;US29364G1031;29844269
Evergy, Inc.;549300PGTHDQY6PSUI61;US30034W1062;18254954
Eversource Energy;SJ7XXD41SQU3ZNWUJ746;US30040W1080;18962480
FirstEnergy Corp.;549300SVYJS666PQJH88;US3379321074;27277340
Fortis, Inc;549300MQYQ9Y065XPR71;CA3495531079;12428756
MDU Resources Group;0T6SBMK3JTBI1JR36794;US5526901096;1207049
National Grid plc;8R95QZMKZLJX5Q2XR704;US6362744095;12281584
NorthWestern Corp.;3BPWMBHR1R9SHUN7J795;US6680743050;2703150
OG&E Energy;CE5OG6JPOZMDSA0LAQ19;US6708371033;7251242
Otter Tail Corp.;549300HHVBQRQUVKKD91;US6896481032;1264277
Pinnacle West Capital Corp.;TWSEY0NEDUDCKS27AH81;US7234841010;12058547
PNM Resources, Inc.;5493003JOBJGLZSDDQ28;US69349H1077;3326899
Portland General Electric Co.;GJOUP9M7C39GLSK9R870;US7365088472;5770964
PPL;9N3UAJSNOUXFKQLF3V18;US69351T1060;18146577
Public Service Enterprise Group;PUSS41EMO3E6XXNV3U28;US7445731067;16912134
Sempra Energy;PBBKGKLRK5S5C0Y4T545;US8168511090;29579515
Southern Co.;549300FC3G3YU2FBZD92;US8425871071;50294245
WEC Energy Group;549300IGLYTZUK3PVP70;US92939U1060;11046675
Xcel Energy, Inc.;LGJNMI9GH8XIDG5RCM61;US98389B1008;27475073
